"","subIDs","full_N1_all_mean_amp","full_N1_all_mean_amp_odds","full_N1_all_mean_amp_evens","full_N1_all_SME","full_P3_rare_frequent_mean_amp","full_P3_rare_frequent_mean_amp_odds","full_P3_rare_frequent_mean_amp_evens","full_P3_rare_frequent_SME","odds_N1_all_mean_amp","odds_N1_all_mean_amp_odds","odds_N1_all_mean_amp_evens","odds_N1_all_SME","odds_P3_rare_frequent_mean_amp","odds_P3_rare_frequent_mean_amp_odds","odds_P3_rare_frequent_mean_amp_evens","odds_P3_rare_frequent_SME","x99_N1_all_mean_amp","x99_N1_all_mean_amp_odds","x99_N1_all_mean_amp_evens","x99_N1_all_SME","x99_P3_rare_frequent_mean_amp","x99_P3_rare_frequent_mean_amp_odds","x99_P3_rare_frequent_mean_amp_evens","x99_P3_rare_frequent_SME","x90_N1_all_mean_amp","x90_N1_all_mean_amp_odds","x90_N1_all_mean_amp_evens","x90_N1_all_SME","x90_P3_rare_frequent_mean_amp","x90_P3_rare_frequent_mean_amp_odds","x90_P3_rare_frequent_mean_amp_evens","x90_P3_rare_frequent_SME","rejected time segments %","# rejected elecs","full ica elapsed time","odds ica elapsed time","99% PCA-ICA elapsed time","90% PCA-ICA elapsed time","99% thresh # of PCs","90% thresh # of PCs","% var mixed full","% var mixed odds","% var mixed 99","%var mixed 90","# of freq trials full","# of rare trials full","# of freq trials odds","# of rare trials odds","# of freq trials 99","# of rare trials 99","# of freq trials 90","# of rare trials 90"
"1",10539200,-0.9339193,-1.100576,-0.7654108,0.2108043,1.143216,0.4213691,1.907525,0.9511459,-0.99468,-1.036088,-0.9528122,0.2339075,1.702265,2.361748,1.003989,1.070401,-0.9394034,-1.105317,-0.771647,0.214326,0.4065746,0.4884383,0.3198954,0.7293598,-0.8766088,-0.9268391,-0.8258206,0.203813,0.9574845,1.733895,0.1354025,0.639954,10.9943194867633,5,294.544573,174.245947,219.82245,29.469028,87,15,62.81696,52.88761,"61.88375","16.16423",140,35,140,35,"140","35","140","35"
"2",10585200,-0.9647045,-1.088615,-0.8404803,0.127702,0.2201978,0.6506283,-0.2102327,0.7392049,-0.9182964,-1.05339,-0.782862,0.1277725,0.7173184,0.6702263,0.7644104,0.7827266,-0.9663887,-1.076433,-0.8560664,0.1267467,0.9337521,1.549828,0.3176762,0.7139468,-0.6677259,-0.820101,-0.514966,0.09650617,0.001104946,0.5584415,-0.5562317,0.2945006,1.75051786369966,11,1822.131322,806.463418,778.614517,118.943481,61,8,44.88706,38.28201,"39.91716","4.006195",630,158,630,158,"630","158","630","158"
"3",10616200,-1.306212,-1.484294,-1.127655,0.09141741,-0.5081195,-1.041047,0.02480793,0.9363175,-1.268479,-1.422862,-1.113684,0.0910359,0.1024877,0.2929928,-0.08801738,0.4145138,-1.29119,-1.482268,-1.099601,0.08290272,0.1950486,0.07489782,0.3151994,0.3153751,-0.6299158,-0.7682559,-0.491206,0.06440247,-0.3277754,0.5586529,-1.214204,0.9249203,6.34474130867377,3,5943.654338,2620.284065,609.716118,121.875682,46,12,58.46513,59.50488,"30.34056","53.56177",577,144,577,144,"577","144","577","144"
"4",10673100,-1.611112,-1.529285,-1.693152,0.1680015,0.2297594,0.7441491,-0.2914889,0.6968588,-1.588187,-1.557631,-1.618823,0.1700125,0.7676762,-0.09522965,1.642087,0.869485,-1.678716,-1.622498,-1.735081,0.1586948,-0.04374783,-0.9818868,0.9068996,0.5604939,0.007959484,0.008463077,0.007454578,0.001463797,0.2394091,0.2648758,0.2136029,0.1824488,3.72493042721644,0,1204.684355,684.041202,653.117844,47.038193,52,3,34.07232,24.39336,"20.4511","15.28262",607,151,607,151,"607","151","607","151"
"5",10687200,-1.492731,-1.490144,-1.495317,0.1031939,0.542804,0.8046381,0.2776553,0.4236064,-1.589282,-1.525205,-1.653358,0.1125295,0.6057177,0.2877905,0.9276693,0.5286817,-1.433357,-1.446673,-1.420041,0.1005916,0.4876331,0.5924954,0.3814435,0.3759774,-0.1955147,-0.1855377,-0.2054917,0.01717735,0.0006776456,0.08786713,-0.0876155,0.06736208,0.483778976960174,7,1842.078579,786.568377,565.808171,54.775681,56,3,87.85773,89.13301,"83.68492","80.72106",637,159,637,159,"637","159","637","159"
"6",10689200,-1.010961,-1.157381,-0.864147,0.1023173,-0.1409415,-0.02532109,-0.256562,0.455787,-1.073572,-1.193078,-0.9537452,0.1160923,0.409848,2.634652,-1.814956,0.8273612,-1.273146,-1.414047,-1.131867,0.09530476,-0.5619819,-0.1390962,-0.9848675,0.4002683,-0.1355338,-0.1426024,-0.1284463,0.02678629,0.2437418,0.3968429,0.09064076,0.1794982,7.5548408739535,3,1244.774499,736.270229,187.730688,4.483955,25,1,78.46341,77.73663,"73.71664","83.1002",575,148,575,148,"575","148","575","148"
"7",10691200,-1.950619,-2.069848,-1.83139,0.1637646,0.9157771,0.8239048,1.008858,0.8064111,-2.175376,-2.32428,-2.026471,0.1947335,2.377693,0.4292975,4.351725,1.049754,-1.98248,-1.978138,-1.986822,0.1507667,0.9485207,0.7998369,1.099161,0.6531674,-0.001223718,0.008924353,-0.01137179,0.006934046,-0.002770324,0.1392633,-0.1466728,0.2220255,8.48064366098666,1,1245.027816,1529.778243,296.447264,54.535758,42,3,47.16293,38.63556,"31.81968","3.158577",578,153,578,153,"578","153","578","153"
"8",10692200,-0.7641653,-0.842906,-0.6854249,0.08913577,-0.5287556,-0.5730904,-0.4844209,0.3457363,-0.6851214,-0.748755,-0.6214877,0.09065334,-0.6499093,-0.5546429,-0.7451762,0.5531524,-0.7764976,-0.8143435,-0.7386519,0.08763234,0.2168919,0.07442156,0.3593623,0.3764314,-0.1032749,-0.09588089,-0.110669,0.01434232,-0.03552613,-0.03324665,-0.03780561,0.03620888,3.03002572829373,8,1212.208027,721.072115,788.092509,54.719706,66,4,54.86945,55.44276,"51.3333","45.36401",604,156,604,156,"604","156","604","156"
"9",10693200,-1.256619,-1.298365,-1.214873,0.1017639,-0.1259948,-0.8314021,0.5794124,0.545033,-1.042062,-1.013179,-1.070944,0.1173685,0.9856893,1.475651,0.4957278,0.7525388,-1.316359,-1.244237,-1.388481,0.09030787,0.9859114,0.5606667,1.411156,0.6866694,-0.08264837,-0.01958295,-0.1457138,0.04231044,0.08347753,-0.1624882,0.3294432,0.2849928,9.20765996251077,1,2055.99431,701.124647,282.918119,120.530394,34,5,52.93948,50.67701,"49.599","36.44177",724,182,724,182,"724","182","724","182"
"10",10702200,-1.159163,-1.414363,-0.9033003,0.1262262,0.2205325,0.1388247,0.3033155,0.4884858,-1.160058,-1.389546,-0.929973,0.1329655,-0.3500993,-0.5475318,-0.150069,0.5662833,-1.148844,-1.404214,-0.8928112,0.1239758,0.3104564,0.6385142,-0.02191803,0.474677,-0.7656182,-0.9547945,-0.5759507,0.1015978,0.1596499,0.4017517,-0.08563759,0.2549959,4.8206515685577,5,2217.216107,791.247555,722.102197,100.621577,60,6,44.06051,39.59212,"40.39235","8.958908",604,153,604,153,"604","153","604","153"
